id,title,description,link,image_link,price,availability,condition,google_product_category
WCTWS14,The Original Crop Tank - Serif Graphic,"An original HSFT design, now with our new serif Have Some Fun Today graphic. This sexy, cropped sleeveless style made of a cotton knit jersey. Looks great for the gym or paired with a high waisted skirt or pant for a trendy stylish look at night. Try it both ways! Fit:This T runs true to size. Allegra, pictured, is 5'4"" and is wearing size small - length is 17"". Composition: Super-soft jersey. 52% cotton/48% poly blend. Care: Machine wash cold and tumble dry cool. Sizes: XS, S, M, L, XL.",https://havesomefuntoday.com/products/original-crop-tank-serif,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2154.JPG?v=1550249550,32.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
WOTS16,The Original Tee Shirt - Serif Graphic,"Cotton scoop neck, loose fit, short sleeve women's designer T shirt. A very generous cut for a sexy, draped look to dress up or down. Wear under a blazer or to the gym! Fit: This T has a loose fit. Allegra, pictured, is 5'3"" and is wearing size small. Composition: Super-soft jersey. 52% cotton/48% poly blend. Care: Machine wash cold and tumble dry on cool setting. Sizes: XS, S, M, L, XL, XL. View size chart.",https://havesomefuntoday.com/products/original-tee-shirt-serif,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2189.JPG?v=1550249883,42.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
LTWB16,Crown Leather Luggage Tags,Charming luggage tags in fabulous colors. Leather with screen printing.,https://havesomefuntoday.com/products/hsft-luggage-tags,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_4567.jpg?v=1572122428,10.00,in stock,new,Luggage & Bags > Luggage Accessories > Luggage Tags 5651
CPP16,Crown Accessory Pouch,"Canvas pouch with appliqued crown and matching color zipper. 8"" x 5"". Available in three color ways: Hot pink, turquoise and orange.",https://havesomefuntoday.com/products/canvas-accessory-pouch,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1200.jpg?v=1570567874,12.00,in stock,new,Luggage & Bags > Luggage Accessories > Travel Pouches 5650
MTS16,The Muscle Tank - with Serif Graphic,"Our Flowy Muscle Tank shirt falls to the hip for a soft, sporty fit and pairs well with yoga pants, shorts or your favorite pair of jeans. Fit: This T runs true to size. Allegra,  pictured is 5'4"" and is wearing size small. Tank length in small is 27"". Composition: super soft “jersey - cotton/poly”- 52%C 48%P65%. Care: Machine wash cold and tumble dry medium. Sizes:  XS, S, M, L, XL. View size chart.",https://havesomefuntoday.com/products/muscle-tank-serif,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1415.JPG?v=1549468874,40.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
WFB16,Limited Edition - Embroidered Wide Neck Fleece,"Sexy, wide neck sweatshirt embroidered with the sharp Have Some Fun Today block print graphic. with a long, narrow sleeve looks great with slim pants or leggings to give a casual but chic look. The banded-hem sits comfortably on the hip for a flattering fit. This Fleece runs true to size. Chrissy, pictured, is 5'9"" and is wearing size small. Length is 25"". Fabric: Super-soft triblend. Combed and Ring-Spun Cotton/Polyester/Rayon Fleece. Care: Machine wash cold. Tumble dry on medium heat.",https://havesomefuntoday.com/products/embroidered-fleece-wide-neck-limited-edition,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2122.JPG?v=1572135867,75.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
WSTTB16,The Slouchy Tank - Have Some Fun Tonight,"Our super-sexy, slouchy tank drapes softly. Printed in gold metalic foil with our Have Some Fun Tonight graphic, this tank can be worn over a bralette or bikini top and works well with fitted shorts or pants! Fit: This tank runs true to size. Allegra, pictured, is 5'3"" and is wearing a size small - length is 25"". Fabric: 65% polyester/35% viscose. Care: Machine wash warm. Tumble dry on medium heat. Sizes: XS, S, M, L, XL. View size chart.",https://havesomefuntoday.com/products/have-some-fun-tonight-slouchy-tank-black,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2093.JPG?v=1550250689,18.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
HWB16,Embroidered Hoodie with crown logo,"The Black Embroidered Zip Hoodie features our white embroidered crown on the front and Have Some Fun Today on the back. This slim-fitting unisex hoodie has a flattering fit and features a white nylon zipper, raglan sleeves and a white draw-cord for the hood. The banded-hem sits comfortably on the hip for a flattering fit. Fit: This Hoodie runs true to size. Allegra, pictured, is 5'3"" and is wearing size small - length is 24"". Fabric: 52%poly/44%cotton/6%rayon fleece. Care: Machine wash cold. Tumble dry on medium heat. Sizes: S,M,L, XL.",https://havesomefuntoday.com/products/zip-hoodie-black-limited-edition,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_2238.JPG?v=1572122502,80.00,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops 212
SBHCWB16,The Crown Snap Back Hat,Rock our Crown Snap Back Hat -- around town or at the beach! Composition: Poly-blend. Care: Spot wash with gentle cleanser.,https://havesomefuntoday.com/products/crown-snap-back-hat,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_7679.JPG?v=1518810738,10.00,in stock,new,Apparel & Accessories > Clothing Accessories > Hats 173
CBHB16,The Crown Baseball Hat - Black,"Wear the crown :)! Our Crown Baseball Cap to the beach, for exercise or running errands! Composition: 100% Cotton Twill. Care: Spot wash with gentle cleanser. Size: One size fits most. Adjustable fabric hide-away closure with brass grommet.",https://havesomefuntoday.com/products/baseball-hat-crown,https://cdn.shopify.com/s/files/1/0665/6537/products/IMG_1368.JPG?v=1572136209,28.00,in stock,new,Apparel & Accessories > Clothing Accessories > Hats 173
